	-0.110	0.020	-0.360	-0.110	0.480	-0.200	0.270	0.290	-0.340	-0.050	0.230	0.080	-0.450000	0.250
	-0.300	-0.370	-0.180	-0.090	-0.160	-0.160	-0.100	-0.090	0.460	0.320	0.020	0.310	0.400000	-0.070
	0.500	0.180	0.410	0.050	-0.080	0.150	-0.250	-0.410	-0.070	-0.130	-0.150	-0.010	-0.280000	-0.090
	0.000	-0.110	0.360	0.190	0.000	-0.070	0.180	0.180	-0.230	-0.160	0.030	-0.120	-0.110000	0.230
	0.400	-0.160	0.310	-0.340	0.020	0.210	-0.700	0.110	0.080	0.050	-0.090	0.070	0.040000	-0.010
	0.390	-0.180	-0.090	-0.040	-0.250	-0.690	-0.640	-0.380	0.410	0.330	-0.620	0.230	0.920000	0.610
	0.500	-0.240	-0.160	-0.230	0.040	-0.350	-0.110	0.100	-0.040	-0.010	-0.040	-0.150	0.050000	-0.110
	-0.520	-0.480	-0.730	-0.420	-0.400	-0.010	-0.340	0.550	0.025	0.370	-0.290	0.630	0.870000	0.280
	-0.870	-0.170	0.100	-0.120	-0.050	0.520	-0.280	0.500	0.090	-0.010	0.080	-0.150	-0.160000	-0.160
	-1.390	-0.570	-0.160	-0.020	0.300	0.410	0.030	0.500	0.480	0.510	-0.110	0.140	-0.060000	-0.050
	0.150	-0.580	0.190	0.020	0.410	0.110	0.020	0.415	0.130	0.130	-0.220	0.020	-0.300000	-0.120
	-0.470	-0.630	0.000	-0.290	0.130	0.430	0.330	0.330	0.280	0.310	-0.080	0.030	-0.130000	-0.230
	-0.640	-0.040	-0.070	-0.090	-0.060	0.110	0.280	-0.030	0.090	0.330	0.330	-0.090	-0.040000	-0.070
	-0.360	-0.530	0.230	0.810	0.220	-0.060	-0.065	-0.220	0.140	0.200	-0.160	-0.100	0.030000	-0.040
	0.940	0.170	0.120	-0.010	-0.580	-0.480	-0.410	0.080	0.000	-0.350	-0.200	0.200	0.150000	0.370
	0.420	-0.230	-0.100	0.025	-0.100	-0.080	-0.010	0.050	-0.070	-0.190	0.020	0.500	0.000000	0.190
	0.470	0.290	0.030	0.060	-0.120	-0.040	-0.040	0.030	-0.270	-0.210	-0.030	-0.250	-0.010000	0.090
	-1.210	-0.440	-0.020	0.510	0.700	0.470	0.260	0.410	-0.020	-0.050	0.040	-0.340	-0.380000	0.070
	0.110	-0.350	0.050	0.110	0.520	0.320	0.430	-0.120	-0.120	-0.250	0.010	-0.350	-0.430000	0.070
	0.400	-0.540	-0.240	-0.330	-0.240	-0.070	-0.010	0.130	0.240	0.060	-0.240	-0.450	0.460000	0.220
	-0.500	-0.315	0.240	0.750	0.660	0.530	0.440	-0.050	-0.120	-0.030	-0.060	-0.550	-0.600000	-0.480
	0.240	-0.090	0.900	-0.090	-0.040	0.010	0.130	-0.040	-0.210	-0.030	0.040	-0.020	-0.780000	-0.020
	0.240	-0.070	-0.150	0.240	0.040	0.000	0.230	0.080	-0.140	-0.180	-0.050	-0.230	-0.030000	0.030
	0.410	-0.180	0.240	0.100	0.500	0.230	0.070	-0.240	0.050	-0.120	-0.220	-0.120	-0.510000	-0.200
	0.100	-0.050	-0.180	-0.270	0.390	0.590	-0.290	0.130	-0.100	0.030	-0.070	-0.240	0.090000	-0.130
	-0.240	-0.110	-0.050	-0.060	0.380	0.050	0.410	0.160	0.060	0.240	0.000	-0.300	-0.390000	-0.150
	0.010	-0.310	-0.160	0.120	-0.020	-0.200	-0.260	-0.050	0.000	0.110	0.190	0.010	-0.060000	0.040
